driverStandingsId,Driver_code,Driver_code,Driver_name,GP_year,Round,GrandPrix_name,points,position,wins,GP_Id
262,14,ALO,Fernando Alonso,2013,4,Bahrain Grand Prix,47,4,1,883
263,44,HAM,Lewis Hamilton,2013,4,Bahrain Grand Prix,50,3,0,883
264,11,PER,Sergio Pérez,2013,4,Bahrain Grand Prix,10,11,0,883
265,77,BOT,Valtteri Bottas,2013,4,Bahrain Grand Prix,0,16,0,883
266,27,HUL,Nico Hülkenberg,2013,4,Bahrain Grand Prix,5,14,0,883
267,77,BOT,Valtteri Bottas,2013,5,Spanish Grand Prix,0,17,0,884
268,44,HAM,Lewis Hamilton,2013,5,Spanish Grand Prix,50,4,0,884
269,14,ALO,Fernando Alonso,2013,5,Spanish Grand Prix,72,3,2,884
270,27,HUL,Nico Hülkenberg,2013,5,Spanish Grand Prix,5,14,0,884
271,11,PER,Sergio Pérez,2013,5,Spanish Grand Prix,12,11,0,884
272,14,ALO,Fernando Alonso,2013,6,Monaco Grand Prix,78,3,2,885
273,44,HAM,Lewis Hamilton,2013,6,Monaco Grand Prix,62,4,0,885
274,11,PER,Sergio Pérez,2013,6,Monaco Grand Prix,12,12,0,885
275,77,BOT,Valtteri Bottas,2013,6,Monaco Grand Prix,0,17,0,885
276,27,HUL,Nico Hülkenberg,2013,6,Monaco Grand Prix,5,14,0,885
277,14,ALO,Fernando Alonso,2013,7,Canadian Grand Prix,96,2,2,886
278,44,HAM,Lewis Hamilton,2013,7,Canadian Grand Prix,77,4,0,886
279,11,PER,Sergio Pérez,2013,7,Canadian Grand Prix,12,13,0,886
280,77,BOT,Valtteri Bottas,2013,7,Canadian Grand Prix,0,17,0,886
281,27,HUL,Nico Hülkenberg,2013,7,Canadian Grand Prix,5,15,0,886
282,27,HUL,Nico Hülkenberg,2013,8,British Grand Prix,6,15,0,887
283,44,HAM,Lewis Hamilton,2013,8,British Grand Prix,89,4,0,887
284,77,BOT,Valtteri Bottas,2013,8,British Grand Prix,0,17,0,887
285,14,ALO,Fernando Alonso,2013,8,British Grand Prix,111,2,2,887
286,11,PER,Sergio Pérez,2013,8,British Grand Prix,12,13,0,887
287,14,ALO,Fernando Alonso,2013,10,Hungarian Grand Prix,133,3,2,890
288,44,HAM,Lewis Hamilton,2013,10,Hungarian Grand Prix,124,4,1,890
289,11,PER,Sergio Pérez,2013,10,Hungarian Grand Prix,18,12,0,890
290,77,BOT,Valtteri Bottas,2013,10,Hungarian Grand Prix,0,17,0,890
291,27,HUL,Nico Hülkenberg,2013,10,Hungarian Grand Prix,7,15,0,890
292,14,ALO,Fernando Alonso,2013,11,Belgian Grand Prix,151,2,2,891
293,44,HAM,Lewis Hamilton,2013,11,Belgian Grand Prix,139,3,1,891
294,11,PER,Sergio Pérez,2013,11,Belgian Grand Prix,18,12,0,891
295,77,BOT,Valtteri Bottas,2013,11,Belgian Grand Prix,0,17,0,891
296,27,HUL,Nico Hülkenberg,2013,11,Belgian Grand Prix,7,15,0,891
297,14,ALO,Fernando Alonso,2013,12,Italian Grand Prix,169,2,2,892
298,44,HAM,Lewis Hamilton,2013,12,Italian Grand Prix,141,3,1,892
299,11,PER,Sergio Pérez,2013,12,Italian Grand Prix,18,12,0,892
300,77,BOT,Valtteri Bottas,2013,12,Italian Grand Prix,0,17,0,892
301,27,HUL,Nico Hülkenberg,2013,12,Italian Grand Prix,17,14,0,892
302,14,ALO,Fernando Alonso,2013,13,Singapore Grand Prix,187,2,2,893
303,44,HAM,Lewis Hamilton,2013,13,Singapore Grand Prix,151,3,1,893
304,11,PER,Sergio Pérez,2013,13,Singapore Grand Prix,22,12,0,893
305,77,BOT,Valtteri Bottas,2013,13,Singapore Grand Prix,0,18,0,893
306,27,HUL,Nico Hülkenberg,2013,13,Singapore Grand Prix,19,13,0,893
307,14,ALO,Fernando Alonso,2013,15,Japanese Grand Prix,207,2,2,895
308,44,HAM,Lewis Hamilton,2013,15,Japanese Grand Prix,161,4,1,895
309,11,PER,Sergio Pérez,2013,15,Japanese Grand Prix,23,13,0,895
310,77,BOT,Valtteri Bottas,2013,15,Japanese Grand Prix,0,18,0,895
311,27,HUL,Nico Hülkenberg,2013,15,Japanese Grand Prix,39,10,0,895
312,14,ALO,Fernando Alonso,2013,17,Abu Dhabi Grand Prix,217,2,2,897
313,44,HAM,Lewis Hamilton,2013,17,Abu Dhabi Grand Prix,175,4,1,897
314,11,PER,Sergio Pérez,2013,17,Abu Dhabi Grand Prix,35,12,0,897
315,77,BOT,Valtteri Bottas,2013,17,Abu Dhabi Grand Prix,0,18,0,897
316,27,HUL,Nico Hülkenberg,2013,17,Abu Dhabi Grand Prix,39,11,0,897
317,14,ALO,Fernando Alonso,2013,18,United States Grand Prix,227,2,2,898
318,44,HAM,Lewis Hamilton,2013,18,United States Grand Prix,187,3,1,898
319,11,PER,Sergio Pérez,2013,18,United States Grand Prix,41,12,0,898
320,77,BOT,Valtteri Bottas,2013,18,United States Grand Prix,4,17,0,898
321,27,HUL,Nico Hülkenberg,2013,18,United States Grand Prix,47,11,0,898
322,14,ALO,Fernando Alonso,2013,19,São Paulo Grand Prix,242,2,2,899
323,44,HAM,Lewis Hamilton,2013,19,São Paulo Grand Prix,189,4,1,899
324,11,PER,Sergio Pérez,2013,19,São Paulo Grand Prix,49,11,0,899
325,77,BOT,Valtteri Bottas,2013,19,São Paulo Grand Prix,4,17,0,899
326,27,HUL,Nico Hülkenberg,2013,19,São Paulo Grand Prix,51,10,0,899
327,20,MAG,Kevin Magnussen,2014,1,Australian Grand Prix,18,2,0,900
328,14,ALO,Fernando Alonso,2014,1,Australian Grand Prix,12,4,0,900
329,77,BOT,Valtteri Bottas,2014,1,Australian Grand Prix,10,5,0,900
